experiment,depth,residual_norm_mean,residual_norm_std,unique_codes,utilization_pct,normalized_entropy
baseline,1,3.943561,1.780543,2528,15.43,0.7594
baseline,2,1.048403,0.431687,3286,20.06,0.7521
baseline,3,0.523485,0.194309,4864,29.69,0.7299
baseline,4,0.390730,0.134997,6391,39.01,0.6797
coarse,1,1.948436,0.704475,1883,11.49,0.7132
coarse,2,0.653192,0.198988,3957,24.15,0.7644
coarse,3,0.386093,0.113908,5820,35.52,0.7527
coarse,4,0.300076,0.083067,6388,38.99,0.6826
fine,1,4.539882,2.002878,2390,14.59,0.7366
fine,2,1.108589,0.381245,3372,20.58,0.7796
fine,3,0.488051,0.166322,4335,26.46,0.7271
fine,4,0.302693,0.088109,5666,34.58,0.6278
mid,1,5.545740,2.722841,2514,15.34,0.7613
mid,2,1.276153,0.502442,2841,17.34,0.7507
mid,3,0.565236,0.202533,4506,27.50,0.7091
mid,4,0.393228,0.127588,6342,38.71,0.6777
